ts,equity,daily_pnl
1783968669,799.33,-0.42
1783968684,799.32,-0.42
1783968700,799.32,-0.42
1783968715,799.31,-0.42
1783968731,799.30,-0.42
1783968746,799.28,-0.42
1783968762,799.28,-0.42
1783968777,799.28,-0.42
1783968806,799.29,-0.42
1783968821,799.28,-0.42
1783968837,799.29,-0.42
1783968852,799.27,-0.42
1783968868,799.28,-0.42
1783968883,799.30,-0.42
1783968899,799.32,-0.42
1783968914,799.32,-0.42
1783968930,799.32,-0.42
1783968945,799.32,-0.42
1783968961,799.32,-0.42
1783968976,799.32,-0.42
1783968992,799.32,-0.42
1783969007,799.32,-0.42
1783969024,799.32,-0.42
1783969039,799.32,-0.42
1783969055,799.32,-0.42
1783969070,799.31,-0.42
1783969088,799.31,-0.42
1783969103,799.31,-0.42
1783969119,799.31,-0.42
1783969134,799.34,-0.42
1783969150,799.33,-0.42
1783969165,799.33,-0.42
1783969181,799.33,-0.42
1783969196,799.33,-0.42
1783969213,799.32,-0.42
1783969228,799.32,-0.42
1783969244,799.32,-0.42
1783969259,799.32,-0.42
1783969275,799.32,-0.42
1783969290,799.33,-0.42
1783969306,799.33,-0.42
1783969321,799.33,-0.42
1783969337,799.32,-0.42
1783969352,799.31,-0.42
1783969368,799.32,-0.42
1783969383,799.31,-0.42
1783969399,799.30,-0.42
1783969414,799.30,-0.42
1783969431,799.31,-0.42
1783969446,799.33,-0.42
1783969462,799.33,-0.42
1783969477,799.33,-0.42
1783969493,799.31,-0.42
1783969508,799.31,-0.42
1783969524,799.31,-0.42
1783969539,799.31,-0.42
1783969555,799.30,-0.42
1783969570,799.29,-0.42
1783969586,799.29,-0.42
1783969601,799.30,-0.42
1783969617,799.30,-0.42
1783969632,799.31,-0.42
1783969648,799.31,-0.42
1783969663,799.32,-0.42
1783969679,799.32,-0.42
1783969694,799.32,-0.42
1783969721,799.33,-0.42
1783969736,799.30,-0.42
1783969752,799.30,-0.42
1783969767,799.29,-0.42
1783969783,799.29,-0.42
1783969798,799.30,-0.42
1783969814,799.30,-0.42
1783969829,799.30,-0.42
1783969845,799.31,-0.42
1783969860,799.31,-0.42
1783969876,799.31,-0.42
1783969891,799.31,-0.42
1783969907,799.31,-0.42
1783969922,799.28,-0.42
1783969938,799.29,-0.42
1783969953,799.28,-0.42
1783969969,799.29,-0.42
1783969984,799.30,-0.42
1783970000,799.30,-0.42
1783970245,799.25,-0.42
1783970272,799.25,-0.42
1783970287,799.24,-0.42
1783970304,799.25,-0.42
1783970319,799.27,-0.42
1783970335,799.28,-0.42
1783970350,799.30,-0.42
1783970366,799.29,-0.42
1783970381,799.29,-0.42
1783970398,799.29,-0.42
1783970413,799.31,-0.42
1783970429,799.32,-0.42
1783970444,799.32,-0.42
1783970460,799.32,-0.42
1783970475,799.32,-0.42
1783970491,799.32,-0.42
1783970506,799.32,-0.42
1783970523,799.32,-0.42
1783970538,799.32,-0.42
1783970554,799.33,-0.42
1783970569,799.33,-0.42
1783970586,799.32,-0.42
1783970601,799.30,-0.42
1783970618,799.30,-0.42
1783970633,799.30,-0.42
1783970649,799.30,-0.42
1783970664,799.30,-0.42
1783970680,799.30,-0.42
1783970703,799.29,-0.42
1783970746,799.29,-0.42
1783970762,799.30,-0.42
1783970785,799.30,-0.42
1783970801,799.31,-0.42
1783970816,799.31,-0.42
1783970833,799.31,-0.42
1783970848,799.32,-0.42
1783970865,799.32,-0.42
1783970880,799.32,-0.42
